ciclo,bornCount,dieCount
1,0,0
2,0,0
3,0,0
4,0,1
5,0,1
6,0,3
7,0,5
8,0,5
9,0,7
10,0,10
11,0,11
12,0,11
13,0,11
14,0,11
15,0,12
16,0,13
17,0,14
18,0,15
19,0,16
20,0,16
21,3,16
22,3,17
23,4,17
24,4,17
25,4,17
26,5,17
27,5,17
28,6,17
29,6,17
30,10,17
31,10,18
32,10,19
33,10,20
34,10,20
35,10,20
36,10,20
37,10,20
38,10,20
39,10,20
40,10,20
41,10,20
42,10,20
43,10,20
44,10,20
45,12,20
46,12,20
47,12,20
48,12,20
49,12,20
50,12,20
51,13,20
52,13,20
53,15,20
54,16,20
55,16,20
56,16,20
57,16,20
58,16,20
59,16,20
60,16,20
61,16,20
62,16,20
63,16,20
64,16,20
65,16,20
66,16,20
67,16,20
68,16,20
69,17,20
70,17,20
71,17,20
72,17,20
73,17,20
74,17,20
75,18,20
